Category,Precision,Recall,F1-score,Support
Deep citation,0.0,0.0,0.0,6
Moderate citation,0.5714285714285714,0.8421052631578947,0.6808510638297872,19
Shallow Citation,0.9464285714285714,0.8983050847457628,0.9217391304347826,59
Macro average,0.5059523809523809,0.5801367826345525,0.5341967314215234,84
Weighted average,0.7940051020408163,0.8214285714285714,0.8014140346240253,84
