Dimension,Hypothesis,Raw p,BH-adjusted p,Significant
Citation distance,H1b,1.0573650334064772e-55,6.3441902004388634e-55,True
Citation function,H2a,4.1907288146761823e-23,1.2572186444028546e-22,True
Citation depth,H2b,4.1669684566883193e-22,8.333936913376638e-22,True
Semantic similarity,H2c,2.668421709183629e-16,4.0026325637754434e-16,True
Citation position,H1a,6.302349706375737e-13,7.562819647650885e-13,True
Citation strength,H1c,5.298488534641688e-10,5.298488534641688e-10,True
