Dimension,Category,G1 count,G1 proportion,G1 SD,G2 count,G2 proportion,G2 SD
Citation position,Introduction,160,0.30245746691871456,,33,0.3173076923076923,
Citation position,Related Work,128,0.24196597353497165,,27,0.25961538461538464,
Citation position,Methods,53,0.1001890359168242,,26,0.25,
Citation position,Results,59,0.11153119092627599,,6,0.057692307692307696,
Citation position,Discussion,129,0.2438563327032136,,12,0.11538461538461539,
Citation distance,Same sentence,173,0.3270321361058601,,10,0.09615384615384616,
Citation distance,Same paragraph,76,0.14366729678638943,,1,0.009615384615384616,
Citation distance,Same section,127,0.24007561436672967,,20,0.19230769230769232,
Citation distance,Same article,114,0.21550094517958412,,27,0.25961538461538464,
Citation distance,Single self-cited article,39,0.07372400756143667,,46,0.4423076923076923,
Citation strength,1,333,0.8043478260869565,,60,0.7894736842105263,
Citation strength,2,62,0.1497584541062802,,11,0.14473684210526316,
Citation strength,3,11,0.026570048309178744,,1,0.013157894736842105,
Citation strength,4,6,0.014492753623188406,,2,0.02631578947368421,
Citation strength,>=5,2,0.004830917874396135,,2,0.02631578947368421,
Citation function,Foundation,0,0.0,,1,0.009615384615384616,
Citation function,Inspiration,9,0.017013232514177693,,9,0.08653846153846154,
Citation function,Extension,3,0.005671077504725898,,1,0.009615384615384616,
Citation function,Application,37,0.06994328922495274,,14,0.1346153846153846,
Citation function,Elaborated Citation,6,0.011342155009451797,,1,0.009615384615384616,
Citation function,Comparison,11,0.020793950850661626,,5,0.04807692307692308,
Citation function,Similarity,5,0.00945179584120983,,0,0.0,
Citation function,Affirmation,1,0.001890359168241966,,0,0.0,
Citation function,Related Work,131,0.24763705103969755,,18,0.17307692307692307,
Citation function,Simple Mention,224,0.42344045368620037,,50,0.4807692307692308,
Citation function,Comparison between Related Work,6,0.011342155009451797,,0,0.0,
Citation function,Future work,31,0.05860113421550094,,2,0.019230769230769232,
Citation function,Further reading,0,0.0,,0,0.0,
Citation function,Historical Background,65,0.12287334593572778,,3,0.028846153846153848,
Citation depth,Deep citation,10,0.01890359168241966,,14,0.1346153846153846,
Citation depth,Moderate citation,89,0.16824196597353497,,47,0.4519230769230769,
Citation depth,Shallow Citation,430,0.8128544423440454,,43,0.41346153846153844,
Semantic similarity,Mean score,,0.6344173361688721,0.04848894456071619,,0.6729767628205129,0.04306184033855121
